mes,ativos,novos,retidos,churn,recorrentes,saldo_liquido,taxa_churn_%
2022-01,196,96,0,0,100,96,
2022-02,3459,3001,99,0,458,3001,0.0
2022-03,9310,7778,1260,2199,1532,5579,63.57
2022-04,13621,12343,1143,8167,1278,4176,87.72
2022-05,18648,16877,1196,12425,1771,4452,91.22
2022-06,24711,22358,1622,17026,2353,5332,91.3
2022-07,21064,18752,1429,23282,2312,-4530,94.22
2022-08,29752,26471,1632,19432,3281,7039,92.25
2022-09,33233,29084,2612,27140,4149,1944,91.22
2022-10,34772,30104,2708,30525,4668,-421,91.85
2022-11,35627,30573,2831,31941,5054,-1368,91.86
2022-12,21974,18859,1679,33948,3115,-15089,95.29
2023-01,23893,21415,873,21101,2478,314,96.03
2023-02,39817,34202,1836,22057,5615,12145,92.32
2023-03,57664,48855,4684,35133,8809,13722,88.24
2023-04,47063,38330,5403,52261,8733,-13931,90.63
2023-05,54268,44842,4724,42339,9426,2503,89.96
2023-06,45157,36813,4429,49839,8344,-13026,91.84
2023-07,34752,28320,2890,42267,6432,-13947,93.6
2023-08,49586,41132,3086,31666,8454,9466,91.12
2023-09,42735,34979,3916,45670,7756,-10691,92.1
2023-10,42824,35311,3323,39412,7513,-4101,92.22
2023-11,48315,40649,3292,39532,7666,1117,92.31
2023-12,21547,17626,1932,46383,3921,-28757,96.0
2024-01,17114,14669,818,20729,2445,-6060,96.2
2024-02,42500,36053,1511,15603,6447,20450,91.17
2024-03,71167,61295,3886,38614,9872,22681,90.86
2024-04,66689,55591,5492,65675,11098,-10084,92.28
2024-05,53707,43539,4729,61960,10168,-18421,92.91
2024-06,61433,52195,4003,49704,9238,2491,92.55
2024-07,47380,40055,3168,58265,7325,-18210,94.84
2024-08,66490,56163,3452,43928,10327,12235,92.71
2024-09,64874,54201,4644,61846,10673,-7645,93.02
2024-10,50010,41491,3390,61484,8519,-19993,94.77
2024-11,44865,37230,2758,47252,7635,-10022,94.49
2024-12,20325,17066,1296,43569,3259,-26503,97.11
2025-01,14815,13032,448,19877,1783,-6845,97.8
2025-02,27749,23601,776,14039,4148,9562,94.76
2025-03,31612,27312,1455,26294,4300,1018,94.76
2025-04,39871,36247,1417,30195,3624,6052,95.52
2025-05,25055,20829,1454,38417,4226,-17588,96.35
2025-06,24015,20585,1378,23677,3430,-3092,94.5
2025-07,23445,20355,1048,22967,3090,-2612,95.64
2025-08,7562,5816,584,22861,1746,-17045,97.51
2025-09,0,0,0,0,0,0,0.0
