cohort_mes,professores,media_interacoes_mes0,pct_somente1,pct_zero,pct_somente1_mm12,media_interacoes_mes0_mm12
2022-01-01,125,14.24,14.4,0,14.4,14.24
2022-02-01,2658,9.53,19.0,0,16.7,11.885
2022-03-01,4816,6.03,34.1,0,22.5,9.933333333333334
2022-04-01,6047,5.9,40.1,0,26.9,8.925
2022-05-01,7916,5.65,48.0,0,31.119999999999997,8.27
2022-06-01,15381,2.97,70.2,0,37.63333333333333,7.386666666666667
2022-07-01,13211,2.82,70.7,0,42.357142857142854,6.734285714285714
2022-08-01,19921,2.59,72.0,0,46.0625,6.2162500000000005
2022-09-01,23635,2.14,77.4,0,49.54444444444445,5.763333333333333
2022-10-01,26561,2.0,78.1,0,52.4,5.387
2022-11-01,27645,1.93,80.3,0,54.93636363636363,5.072727272727272
2022-12-01,16542,1.93,81.2,0,57.125,4.810833333333334
2023-01-01,18244,2.43,76.7,0,62.31666666666667,3.8266666666666667
2023-02-01,28941,2.86,73.6,0,66.86666666666667,3.2708333333333335
2023-03-01,41852,2.37,79.0,0,70.60833333333333,2.9658333333333338
2023-04-01,34257,2.04,81.7,0,74.075,2.6441666666666666
2023-05-01,39658,2.15,81.2,0,76.84166666666667,2.3525
2023-06-01,33608,2.1,84.2,0,78.00833333333334,2.28
2023-07-01,23662,2.95,72.9,0,78.19166666666668,2.2908333333333335
2023-08-01,36418,2.97,71.3,0,78.13333333333334,2.3225000000000002
2023-09-01,31406,2.8,72.4,0,77.71666666666667,2.3775
2023-10-01,32716,2.16,83.7,0,78.18333333333334,2.3908333333333336
2023-11-01,38169,1.68,87.6,0,78.79166666666667,2.37
2023-12-01,16187,1.58,89.1,0,79.45,2.3408333333333333
2024-01-01,12566,2.05,84.4,0,80.09166666666667,2.3091666666666666
2024-02-01,31721,2.27,85.0,0,81.04166666666667,2.2600000000000002
2024-03-01,56655,1.96,87.5,0,81.75,2.2258333333333336
2024-04-01,51208,1.87,87.6,0,82.24166666666666,2.211666666666667
2024-05-01,39376,1.98,87.0,0,82.725,2.1975
2024-06-01,31788,1.89,87.0,0,82.95833333333333,2.18
2024-07-01,21799,2.18,84.8,0,83.95,2.1158333333333332
2024-08-01,34547,1.99,86.9,0,85.25,2.0341666666666667
2024-09-01,36130,1.76,88.3,0,86.575,1.9474999999999998
2024-10-01,28846,1.76,88.9,0,87.00833333333333,1.9141666666666666
2024-11-01,29122,1.54,90.2,0,87.22500000000001,1.9024999999999999
2024-12-01,12089,1.51,90.1,0,87.30833333333334,1.8966666666666667
2025-01-01,7199,2.04,86.0,0,87.44166666666666,1.8958333333333333
2025-02-01,13099,2.42,85.4,0,87.47500000000001,1.9083333333333334
2025-03-01,17599,1.93,88.3,0,87.54166666666667,1.9058333333333335
2025-04-01,16363,1.83,88.9,0,87.64999999999999,1.9024999999999999
2025-05-01,16008,1.65,89.6,0,87.86666666666667,1.8750000000000002
2025-06-01,16846,1.62,88.6,0,88.0,1.8525
2025-07-01,16029,1.39,92.1,0,88.60833333333333,1.7866666666666664
2025-08-01,3511,1.59,92.6,0,89.08333333333333,1.7533333333333332
